"(40.588331393, -73.940623274)"
"(40.588396853, -74.099639638)"
"(40.588491921, -73.991868066)"
"(40.588497116, -73.803500552)"
"(40.588498772, -73.95943178)"
"(40.588507259, -74.073291832)"
"(40.588573783, -73.81496054)"
"(40.588589431, -73.968436417)"
"(40.588628296, -73.983723858)"
"(40.588666978, -73.81318526)"
"(40.588676989, -73.80275113)"
"(40.588691688, -74.159483082)"
"(40.5887553, -73.990309042)"
"(40.5887553, -73.990309042)"
"(40.588953828, -73.807376909)"
"(40.58898912, -73.964814166)"
"(40.589004103, -73.816287919)"
"(40.589049337, -73.964266865)"
"(40.589156339, -73.943610928)"
"(40.589211082, -73.992213624)"
"(40.589242749, -73.922346466)"
"(40.589242765, -73.952655241)"
"(40.589251811, -74.06765791)"
"(40.589373635, -73.787072546)"
"(40.589373635, -73.787072546)"
"(40.589373635, -73.787072546)"
"(40.589390697, -74.085750464)"
"(40.58945983, -73.960518542)"
"(40.589492188, -73.925993469)"
"(40.58951588, -73.813650949)"
"(40.589533401, -73.979482264)"
"(40.589621262, -73.959056648)"
"(40.589729255, -73.811526056)"
"(40.589768197, -73.798877359)"
"(40.589779215, -73.93791081)"
"(40.589780137, -73.801005225)"
"(40.58979048, -74.166607509)"
"(40.589808516, -74.161667657)"
"(40.589828372, -73.937449899)"
"(40.589862313, -74.191001157)"
"(40.589893728, -73.808079899)"
"(40.589893728, -73.808079899)"
"(40.589920095, -73.788691037)"
"(40.589920095, -73.788691037)"
"(40.589920095, -73.788691037)"
"(40.589920095, -73.788691037)"
"(40.589920095, -73.788691037)"
"(40.589920095, -73.788691037)"
"(40.589920095, -73.788691037)"
"(40.58996484, -73.809577511)"
"(40.58996484, -73.809577511)"
"(40.589983663, -73.811003262)"
"(40.589983663, -73.811003262)"
"(40.589983663, -73.811003262)"
"(40.590109349, -73.944773091)"
"(40.590114963, -73.814092142)"
"(40.590210425, -73.795941593)"
"(40.590327083, -73.982081603)"
"(40.590350335, -74.06662567)"
"(40.590350335, -74.06662567)"
"(40.590354295, -73.952377211)"
"(40.590354295, -73.952377211)"
"(40.590433977, -73.981123832)"
"(40.590638428, -73.992987575)"
"(40.590639412, -73.939933517)"
"(40.590642518, -73.959596104)"
"(40.590664905, -73.80314492)"
"(40.590809829, -73.967909686)"
"(40.590900242, -73.801135108)"
"(40.590942615, -73.937182415)"
"(40.590942615, -73.937182415)"
"(40.590942615, -73.937182415)"
"(40.590966888, -74.191951268)"
"(40.591010414, -73.946399802)"
"(40.591080678, -73.796025349)"
"(40.591080678, -73.796025349)"
"(40.591214867, -73.974055677)"
"(40.591227619, -73.983705222)"
"(40.59131624, -73.963307897)"
"(40.591324702, -73.943551488)"
"(40.591329037, -73.982743842)"
"(40.591329037, -73.982743842)"
"(40.591329037, -73.982743842)"
"(40.591349078, -73.972827826)"
"(40.591363114, -73.800557634)"
"(40.591441428, -73.981800458)"
"(40.591441428, -73.981800458)"
"(40.591441428, -73.981800458)"
"(40.591588735, -74.164419228)"
"(40.591693557, -73.940202615)"
"(40.591716597, -74.06773602)"
"(40.59174478, -73.791360522)"
"(40.591763863, -73.798986569)"
"(40.591763863, -73.798986569)"
"(40.591763863, -73.798986569)"
"(40.591783272, -73.902781398)"
"(40.591783272, -73.902781398)"
"(40.591817355, -73.968575315)"
"(40.591916812, -73.800123906)"
"(40.59202081, -73.947065106)"
"(40.592091207, -73.785710042)"
"(40.59225853, -74.074646187)"
"(40.592320914, -73.991824392)"
"(40.592321771, -73.934534648)"
"(40.592330067, -73.977940333)"
"(40.592336182, -73.981486959)"
"(40.592375111, -74.076839108)"
"(40.592478755, -73.799697347)"
"(40.592478755, -73.799697347)"
"(40.592478755, -73.799697347)"
"(40.592729114, -73.783374761)"
"(40.592753199, -73.940489718)"
"(40.592772523, -73.935603603)"
"(40.592818167, -74.156734824)"
"(40.592830692, -73.984500578)"
"(40.592849198, -73.959198695)"
"(40.592856795, -73.796153148)"
"(40.592886099, -73.795652564)"
"(40.592903619, -73.939448991)"
"(40.592971291, -73.794172423)"
"(40.592976513, -73.948191359)"
"(40.593111685, -73.974782277)"
"(40.593156162, -73.925474511)"
"(40.59335201, -74.190370215)"
"(40.593378638, -73.934742451)"
"(40.593427148, -73.963800033)"
"(40.593495807, -73.94348484)"
"(40.593527499, -73.789086503)"
"(40.593527499, -73.789086503)"
"(40.593542166, -74.161158195)"
"(40.593560828, -73.984640836)"
"(40.593690913, -73.775378038)"
"(40.593719825, -73.983204116)"
"(40.593760536, -73.980298328)"
"(40.593760536, -73.980298328)"
"(40.593760536, -73.980298328)"
"(40.593768616, -73.7844192)"
"(40.593768616, -73.7844192)"
"(40.5938155, -73.940611196)"
"(40.593816412, -74.080441486)"
"(40.593820122, -73.950354737)"
"(40.593820122, -73.950354737)"
"(40.593820122, -73.950354737)"
"(40.593820122, -73.950354737)"
"(40.593865532, -73.759926705)"
"(40.593865532, -73.759926705)"
"(40.593867827, -73.968966828)"
"(40.59387289, -73.940128649)"
"(40.593973212, -74.071619892)"
"(40.593982185, -73.939181559)"
"(40.59399139, -73.773241788)"
"(40.594032466, -74.068984221)"
"(40.594048916, -73.753203455)"
"(40.594048916, -73.753203455)"
"(40.594048916, -73.753203455)"
"(40.594048916, -73.753203455)"
"(40.594060474, -73.985350065)"
"(40.59406298, -73.960868693)"
"(40.59406298, -73.960868693)"
"(40.594077412, -74.091143181)"
"(40.594115599, -73.762709183)"
"(40.594129204, -73.792426094)"
"(40.594129204, -73.792426094)"
"(40.594139979, -73.947466709)"
"(40.594145169, -73.960414952)"
"(40.594145169, -73.960414952)"
"(40.594145169, -73.960414952)"
"(40.594145169, -73.960414952)"
"(40.594145169, -73.960414952)"
"(40.594145169, -73.960414952)"
"(40.594145169, -73.960414952)"
"(40.594145169, -73.960414952)"
"(40.594145169, -73.960414952)"
"(40.594236119, -74.068080645)"
"(40.594238933, -73.936840843)"
"(40.594238933, -73.936840843)"
"(40.594281334, -74.15659783)"
"(40.594338951, -73.800826005)"
"(40.594347705, -73.945576154)"
"(40.594453868, -73.996728355)"
"(40.594547447, -74.141907343)"
"(40.594647296, -73.95270182)"
"(40.594656498, -73.942760104)"
"(40.594682112, -73.800860989)"
"(40.594808267, -73.976164334)"
"(40.594872353, -73.940815501)"
"(40.594887434, -73.993955738)"
"(40.594890113, -73.797374808)"
"(40.594919759, -74.159404337)"
"(40.594978166, -74.00106367)"
"(40.594978166, -74.00106367)"
"(40.594982037, -73.786003232)"
"(40.595017246, -74.086142974)"
"(40.595037786, -73.772168798)"
"(40.595043561, -73.785142445)"
"(40.595104517, -73.975274833)"
"(40.595109282, -73.962466829)"
"(40.595148522, -73.753987967)"
"(40.595156302, -74.097604474)"
"(40.595159063, -73.937981424)"
"(40.595159063, -73.937981424)"
"(40.595224542, -73.7535988)"
"(40.595224542, -73.7535988)"
"(40.595265987, -73.755010164)"
"(40.595265987, -73.755010164)"
"(40.595265987, -73.755010164)"
"(40.595270733, -73.960986811)"
"(40.595305334, -73.749075881)"
"(40.595324784, -73.958574244)"
"(40.595337394, -73.762881281)"
"(40.595350418, -73.953813969)"
"(40.595403557, -73.996361028)"
"(40.595428961, -73.762031162)"
"(40.59544044, -73.959625608)"
"(40.59544044, -73.959625608)"
"(40.595471428, -74.063008367)"
"(40.595476255, -74.092401772)"
"(40.595487179, -73.784586491)"
"(40.595528113, -74.102458913)"
"(40.595536169, -74.074109729)"
"(40.595548781, -73.769646479)"
"(40.595569998, -73.747101634)"
"(40.595593388, -73.934210968)"
"(40.595593388, -73.934210968)"
"(40.595606536, -73.758995032)"
"(40.595608605, -74.063123722)"
"(40.595810922, -73.7676075)"
"(40.595820856, -73.772573021)"
"(40.595869121, -73.781895432)"
"(40.595869121, -73.781895432)"
"(40.595897343, -73.973391305)"
"(40.595963363, -73.771078184)"
"(40.595963363, -73.771078184)"
"(40.595963363, -73.771078184)"
"(40.595963363, -73.771078184)"
"(40.596011813, -73.742116381)"
"(40.596011813, -73.742116381)"
"(40.596011813, -73.742116381)"
"(40.596011813, -73.742116381)"
"(40.596037101, -74.080231712)"
"(40.596062007, -74.062187932)"
"(40.596062007, -74.062187932)"
"(40.596062007, -74.062187932)"
"(40.596134338, -73.939618902)"
"(40.596134338, -73.939618902)"
"(40.596198829, -73.986627896)"
"(40.596213942, -73.768736767)"
"(40.596213982, -73.764700204)"
"(40.596245452, -73.757393943)"
"(40.596256343, -73.779128706)"
"(40.596256343, -73.779128706)"
"(40.596257361, -73.797565105)"
"(40.596259048, -73.763922258)"
"(40.596274201, -73.754131456)"
"(40.596327957, -74.080365293)"
"(40.596335007, -73.979436964)"
"(40.596346897, -73.936763232)"
"(40.596346897, -73.936763232)"
"(40.596383361, -73.994186057)"
"(40.596393654, -73.947893438)"
"(40.596398614, -73.953031858)"
"(40.596415427, -73.984697793)"
"(40.596431562, -73.784677067)"
"(40.596431562, -73.784677067)"
"(40.596431562, -73.784677067)"
"(40.596444629, -73.97851151)"
"(40.596444629, -73.97851151)"
"(40.596445719, -73.936781143)"
"(40.596462931, -73.772466409)"
"(40.596462931, -73.772466409)"
"(40.596462931, -73.772466409)"
"(40.596462931, -73.772466409)"
"(40.596462931, -73.772466409)"
"(40.596462931, -73.772466409)"
"(40.596528628, -73.973308234)"
"(40.596534815, -73.778349996)"
"(40.596541834, -73.798565286)"
"(40.596587911, -73.792072766)"
"(40.596601386, -73.946002821)"
"(40.596635333, -73.987340782)"
"(40.59678361, -73.761410582)"
"(40.59678361, -73.761410582)"
